[2020-04-11 22:06:54] | ERROR | [1] | Uncaught Error: Class 'App\Home\Controllers\Hnadle' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:42Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 42
[2020-04-11 22:07:02] | ERROR | [1] | Uncaught Error: Class 'App\Home\Controllers\Hnadle' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:42Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 42
[2020-04-11 22:07:48] | ERROR | [1] | Uncaught Error: Class 'App\Home\Controllers\Hnadle' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:42Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 42
[2020-04-11 22:21:45] | ERROR | [1] | Uncaught Error: Class 'App\Home\Controllers\Hnadle' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:42Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 42
[2020-04-11 22:30:19] | SQL | [256] | select * from user | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Logger\Logger.php | 316
[2020-04-11 22:31:10] | SQL | [256] | select * from user | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Logger\Logger.php | 316
[2020-04-11 22:31:30] | SQL | [256] | select * from user | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Logger\Logger.php | 317
[2020-04-11 22:32:56] | SQL | [256] | select * from user | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Logger\Logger.php | 317
[2020-04-11 22:33:42] | SQL | [256] | select * from user | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Logger\Logger.php | 315
[2020-04-11 22:52:34] | ERROR | [1] | Uncaught Error: Class 'App\Home\Controllers\Handle' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:25Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 25
