[2020-04-03 11:01:04] | ERROR | [1] | Uncaught Exception: No entry or class found for App\Event\EventHandler in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:30Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\Container.php(32): framework\Container\AbstractContainer->get('App\\Event\\Event...')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Event.php(43): framework\Container\Container->offsetGet('App\\Event\\Event...')#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(55): framework\Event\Event->handler('handle', 'App\\Event\\Event...')#3 [internal function]: App\Home\Controllers\indexAction->App\Home\Controllers\{closure}(Object(framework\Event\Event))#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(13): call_user_func(Object(Closure), Object(framework\Event\Event))#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 30
[2020-04-03 11:03:26] | ERROR | [1] | Uncaught Error: Class 'App\Home\Controllers\EventManager' not found in E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php:59Stack trace:#0 [internal function]: App\Home\Controllers\indexAction->index()#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#5 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php | 59
[2020-04-03 11:04:43] | ERROR | [1] | Uncaught Error: Call to a member function handle() on array in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php:24Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(59): framework\Event\Events::listen('Event')#1 [internal function]: App\Home\Controllers\indexAction->index()#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#6 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php | 24
[2020-04-03 11:09:51] | ERROR | [1] | Uncaught Exception: No entry or class found for Event in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:30Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(11): framework\Container\AbstractContainer->get('Event')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(57): framework\Event\Events::trigger('Event', Object(Closure))#2 [internal function]: App\Home\Controllers\indexAction->index()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(1 | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 30
[2020-04-03 11:23:00] | ERROR | [1] | Uncaught Exception: No entry or class found for NoticeEvent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:30Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(17): framework\Container\AbstractContainer->get('NoticeEvent')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(57): framework\Event\Events::trigger('NoticeEvent', Object(Closure))#2 [internal function]: App\Home\Controllers\indexAction->index()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\ | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 30
[2020-04-03 11:24:03] | ERROR | [1] | Uncaught Exception: No entry or class found for NoticeEvent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:30Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(17): framework\Container\AbstractContainer->get('NoticeEvent')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(57): framework\Event\Events::trigger('NoticeEvent', Object(Closure))#2 [internal function]: App\Home\Controllers\indexAction->index()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\ | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 30
[2020-04-03 11:30:21] | ERROR | [1] | Uncaught Exception: No entry or class found for NoticeEvent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:30Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(17): framework\Container\AbstractContainer->get('NoticeEvent')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(57): framework\Event\Events::trigger('NoticeEvent', Object(Closure))#2 [internal function]: App\Home\Controllers\indexAction->index()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\ | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 30
[2020-04-03 11:33:04] | ERROR | [1] | Uncaught Exception: No entry or class found for NoticeEvent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:30Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(17): framework\Container\AbstractContainer->get('NoticeEvent')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(57): framework\Event\Events::trigger('NoticeEvent', Object(Closure))#2 [internal function]: App\Home\Controllers\indexAction->index()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\ | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 30
[2020-04-03 11:33:18] | ERROR | [1] | Uncaught Exception: No entry or class found for NoticeEvent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:30Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(17): framework\Container\AbstractContainer->get('NoticeEvent')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(57): framework\Event\Events::trigger('NoticeEvent', Object(Closure))#2 [internal function]: App\Home\Controllers\indexAction->index()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\ | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 30
[2020-04-03 11:33:48] | ERROR | [1] | Uncaught Exception: No entry or class found for NoticeEvent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:30Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(17): framework\Container\AbstractContainer->get('NoticeEvent')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(57): framework\Event\Events::trigger('NoticeEvent', Object(Closure))#2 [internal function]: App\Home\Controllers\indexAction->index()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\ | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 30
[2020-04-03 11:33:55] | ERROR | [1] | Uncaught Exception: No entry or class found for NoticeEvent in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:30Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(17): framework\Container\AbstractContainer->get('NoticeEvent')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(57): framework\Event\Events::trigger('NoticeEvent', Object(Closure))#2 [internal function]: App\Home\Controllers\indexAction->index()#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#6 E:\phpStudy\wwwroot\yuanzhongyi\dahe\ | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 30
[2020-04-03 11:34:44] | ERROR | [1] | Uncaught ReflectionException: Class NoticeEvent does not exist in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php:116Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php(116): ReflectionClass->__construct('NoticeEvent')#1 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php(76): framework\Container\AbstractContainer->build('NoticeEvent', Array)#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\functions.php(12): framework\Container\AbstractContainer->make('NoticeEvent', Array)#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php(17): app('NoticeEvent')#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(57): framework\Event\Events::trigger('NoticeEvent', Object(Closure))#5 [internal function]: App\Home\ | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Container\AbstractContainer.php | 116
[2020-04-03 12:19:24] | ERROR | [1] | Uncaught Error: Call to undefined method App\Event\WeixinEvent::handle() in E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php:50Stack trace:#0 E:\phpStudy\wwwroot\yuanzhongyi\dahe\app\Home\Controllers\indexAction.php(61): framework\Event\Events::listen('weixin')#1 [internal function]: App\Home\Controllers\indexAction->index()#2 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(278): call_user_func_array(Array, Array)#3 E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Foundation\Application.php(68): framework\Foundation\Application->dispatch()#4 E:\phpStudy\wwwroot\yuanzhongyi\dahe\bootstrap\bootstrap.php(20): framework\Foundation\Application->Start()#5 E:\phpStudy\wwwroot\yuanzhongyi\dahe\public\index.php(12): require('E:\\phpStudy\\www...')#6 {main}  thrown | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\Events.php | 50
[2020-04-03 12:26:20] | ERROR | [64] | Interfaces may not include member variables | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\HandlerInterface.php | 7
[2020-04-03 12:26:54] | ERROR | [64] | Interfaces may not include member variables | E:\phpStudy\wwwroot\yuanzhongyi\dahe\vendor\eternalphp\framework\src\framework\Event\HandlerInterface.php | 7
